題名,作者/創作者,文獻出處,學位論文,主題,MESH,資料類型,摘要,目錄,其他題名,相關題名,叢書,出版者,出版日期,版本,格式,刊期,資源來源,課程資訊,識別號,合訂,訂購註,附註,附註,附註,適用對象,附註,語言註,影音資料,數位檔案,附註,永久連結
eWork : status report on new ways to work in the knowledge economy ,European Commission. Information Society DG. ,,,Information technology -- Economic aspects -- Europe= Knowledge workers -- Europe= Electronic information resources -- Economic aspects -- Europe= Digital communications -- Economic aspects -- Europe= Information society -- Europe,,,,,,,EC annual status report on e-Work. ,"Brussels : European Commission, Information Society, Directorate C",99??,,"v. : graphs, tables.",Annual.,圖書館目錄,,,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/mt92fk/alma991001089749705912
Human–Avian and God–Avian Relations in Viking Age Religion and Mythology – as Mirrored by Contemporary Pictorial Art,Sigmund Oehrl= PETER PENTZ =  SOPHIE BØNDING =  LESZEK GARDEŁA,"The Norse Sorceress, 2024, p.191",,,,,"In the archaeological material, in addition to bird bones in settlements, sacrificial sites, and graves (as in the case of the ‘vǫlva graves’ discussed in this volume), it is above all pictorial representations that provide information about the significance of birds and the relationship between humans and birds in the spiritual world of the vikings. These are authentic and unadulterated, autochthonous testimonies, unlike most of the written sources that were recorded in Iceland in the Middle Ages mainly due to antiquarian interest. Birds are among the main motifs in Viking Age animal art and thus have been present on almost",,,,,Oxbow Books,,,,,JSTOR eBooks: Open Access,,ISBN: 9781789259537= ISBN: 1789259533= EISBN: 9781789259551= EISBN: 178925955X= DOI: 10.2307/jj.5699282.21,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_jstor_books_10_2307_jj_5699282_21
The Magic of the Mask,Terry Gunnell= PETER PENTZ =  SOPHIE BØNDING =  LESZEK GARDEŁA,"The Norse Sorceress, 2024, p.505",,,,,"There can be little question that the discovery of a mask in an archaeological dig (like those masks found in Hedeby in 1979–1980 and Stóra-Borg in southern Iceland in 1978; Figs 36.1 and 36.2) has to be one of the most revealing finds that can be made with regard to the information it provides about the culture it originally belonged to. As I have previously noted in an article from 2012,¹ if it has eye holes, we can assume not only that the mask was worn by someone but also that it was almost certainly observed by others, something",,,,,Oxbow Books,,,,,JSTOR eBooks: Open Access,,ISBN: 9781789259537= ISBN: 1789259533= EISBN: 9781789259551= EISBN: 178925955X= DOI: 10.2307/jj.5699282.41,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_jstor_books_10_2307_jj_5699282_41
Ritual Specialists in the Viking World: An Introduction to Part 4,Leszek Gardeła= PETER PENTZ =  SOPHIE BØNDING =  LESZEK GARDEŁA,"The Norse Sorceress, 2024, p.259",,,,,"Archaeology has always had a very special relationship with death.¹ This largely results from the fact that studies of the past are predominantly concerned with people who are long gone. Tangible remains of individuals who walked the Earth long before us can be encountered within virtually all kinds of archaeological sites, but it is usually cemeteries and graves that are the richest sources of information about them.
In the nineteenth and early twentieth centuries – a time when archaeology was not yet regarded as a serious and respectable academic discipline – prehistoric and medieval graves would either be ‘dug up’ accidentally by",,,,,Oxbow Books,,,,,JSTOR eBooks: Open Access,,ISBN: 9781789259537= ISBN: 1789259533= EISBN: 9781789259551= EISBN: 178925955X= DOI: 10.2307/jj.5699282.25,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_jstor_books_10_2307_jj_5699282_25
The Vǫlva and Her Sisters: A Foreword,Neil Price= PETER PENTZ =  SOPHIE BØNDING =  LESZEK GARDEŁA,"The Norse Sorceress, 2024, p.vii",,,,,"The god Óðinn stands at the doors of Hel, the realm of the dead. His ride there has been long and difficult, through cold and mist, past the blood-covered hound that guards the way. He has travelled down into the dark on his eight-legged stallion, Sleipnir, the horse sliding between the realms. The lord of the Æsir has come here for information, to discover the cause of the nightmares that have been troubling his son, Baldr. East of the gates he finds a grave, a patch of turned earth in the fog, and he wakes its occupant (Óðinn is a",,,,,Oxbow Books,,,,,JSTOR eBooks: Open Access,,ISBN: 9781789259537= ISBN: 1789259533= EISBN: 9781789259551= EISBN: 178925955X= DOI: 10.2307/jj.5699282.4,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_jstor_books_10_2307_jj_5699282_4
Pre-Christian Rituals at Elite Sites,Lars Grundvad= PETER PENTZ =  SOPHIE BØNDING =  LESZEK GARDEŁA,"The Norse Sorceress, 2024, p.109",,,,,"Since 2016, several large hoards and isolated pre-Christian religiously charged objects have been discovered in the sacred landscape around Fæsted and Harreby in the hinterland of Ribe in Jylland, Denmark.¹ Furthermore, traces of a presumed hǫrgr (a type of structure intended for sacrificial acts known from Old Norse literature) and halls have been noted. The hoard deposits have been excavated in their in situ contexts, providing much more information than the isolated plough soil finds discovered with metal detectors. When these different finds are critically compared and contrasted one may arrive at interesting conclusions concerning Viking Age ritual activities.
This",,,,,Oxbow Books,,,,,JSTOR eBooks: Open Access,,ISBN: 9781789259537= ISBN: 1789259533= EISBN: 9781789259551= EISBN: 178925955X= DOI: 10.2307/jj.5699282.15,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_jstor_books_10_2307_jj_5699282_15
Climate chamber investigation of the effect of indoor thermal histories on thermal adaptation in different seasons,Yuxin Wu =  Angchen Jiang =  Hong Liu =  Baizhan Li =  Risto Kosonen,"Energy and built environment, 2024, Vol.5 (3), p.455-463",,Cold acclimation =  Hot summer and cold winter =  Skin temperature =  Thermal comfort =  Thermal experience,,,"The indoor thermal history of residents in the hot summer and cold winter climate zone in China have undergone a significant change in recent years, which also changes their seasonal thermal adaptations and this has formed feed-back effects to the increasing usage of air conditioning units in this area. To study the seasonal variations of thermal adaptation, the thermal comfort experiments were conducted on two groups of participants. Each groups included 20 participants who had indoor history mainly with natural ventilation (NV group) and air-conditioning (AC group), respectively. The results demonstrated that the thermal sensation vote (TSV) in warm environments did not differ between AC and NV subjects in summer. However, the TSV of AC subjects were much lower than that of NV subjects in the same standard effective temperature and skin temperature in a cold environment in winter. Overall, the participants who spent most of their time in AC space in winter showed a low level of thermal adaptation with a narrower acceptable skin temperature range of 32.6 – 33.5 °C. Thus, this study presents the basic information regarding the seasonal effects on human thermal adaptation due to different long-term indoor thermal histories.",,,,,"KeAi Communications Co., Ltd",,,,,DOAJ: Directory of Open Access Journals,,EISSN: 2666-1233= DOI: 10.1016/j.enbenv.2023.02.002,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_doaj_primary_oai_doaj_org_article_fb9875c1b6ab413887754a9fb978c674
"Introduction to the volume, and definition and use of the term ‘tectono-sedimentary element’","Drachev, Sergey =  Brekke, Harald =  Henriksen, Erik =  Moore, Thomas","Memoirs - Geological Society of London, 2024",,,,,"The present volume is rooted in a map of sedimentary successions of the Arctic Region by
Grantz et al. (2011), and contains a brief, but comprehensive compilation of geological and
geophysical data characterizing all significant sedimentary successions in the Arctic, which
cover 57% of the polar area north of 64°N. Two main goals have been designated: (i) to
provide, based on the present-day knowledge and data, a characterization of all Arctic
sedimentary successions (or sedimentary accumulations), and (ii) to supply a snapshot of
hydrocarbon-related exploration in the Arctic at the end of the second decade of this
millennium. To achieve these goals, we represent sedimentary successions as consisting of
one or several “Tectono-Sedimentary Elements” (TSE). This concept allows delineation,
mapping, and characterization of 9 categories of TSEs based of main tectonic regimes that
formed accommodation space.
A TSE characterization template has been developed as an efficient method of organising
and presenting the most important information about stratigraphy, structure, and
petroleum geology of a TSE, including most significant exploration facts. This organizationa architecture is the backbone of the volume and is a key feature that distinguishes it from
other similar works about the sedimentary basins.",,,,,Geological Society,,,,,NORA - Norwegian Open Research Archives,,ISSN: 0435-4052= ISSN: 2041-4722= DOI: 10.1144/M57-2021-30,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_cristin_nora_10037_24580
The effects of temporal distance and post type on tourists' responses to destination marketing organizations’ social media marketing,"Sano, Kaede =  Sano, Hiroki =  Yashima, Yuji =  Takebayashi, Hajime","Tourism management (1982), 2024, Vol.101, p.104844, Article 104844",,Decision-making process =  Destination influence boundaries =  Destination marketing organization (DMO) =  DMO-Generated content (DGC) =  Temporal construal theory,,,"With the rapid growth of social media practice in the tourism industry, destination-marketing-organization-generated content (DGC) has become an important communication tool in promoting destinations. However, little remains known about the extent to which DGC affects tourist behavior. Based on a temporal construal-level research framework, which considers how the level at which a stimulus is construed influences consumers' information processing and decision-making, this study investigates the interplay effects of temporal distance and post type on tourists' attitude strength changes (Study 1) and decision-making processes (Study 2) from a dynamic approach. The findings reveal that the effect of DGC on tourists' attitude changes is contextual, and DGC is less influential on tourists' decision-making processes when they have a near travel plan than a distant one. This study significantly changes the current understanding of the scope of DMOs’ influence through social media, concluding that DMOs should not invest in DGC except for in specific contexts.",,,,,Elsevier Ltd,,,,,Elsevier ScienceDirect Journals,,ISSN: 0261-5177= EISSN: 1879-3193= DOI: 10.1016/j.tourman.2023.104844,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_crossref_primary_10_1016_j_tourman_2023_104844
Toward Best Practices for Training Multilingual Dense Retrieval Models,"Zhang, Xinyu =  Ogueji, Kelechi =  Ma, Xueguang =  Lin, Jimmy","ACM transactions on information systems, 2024, Vol.42 (2), p.1-33",,,,,"Dense retrieval models using a transformer-based bi-encoder architecture have emerged as an active area of research. In this article, we focus on the task of monolingual retrieval in a variety of typologically diverse languages using such an architecture. Although recent work with multilingual transformers demonstrates that they exhibit strong cross-lingual generalization capabilities, there remain many open research questions, which we tackle here. Our study is organized as a “best practices” guide for training multilingual dense retrieval models, broken down into three main scenarios: when a multilingual transformer is available, but training data in the form of relevance judgments are not available in the language and domain of interest (“have model, no data”); when both models and training data are available (“have model and data”); and when training data are available but not models (“have data, no model”). In considering these scenarios, we gain a better understanding of the role of multi-stage fine-tuning, the strength of cross-lingual transfer under various conditions, the usefulness of out-of-language data, and the advantages of multilingual vs. monolingual transformers. Our recommendations offer a guide for practitioners building search applications, particularly for low-resource languages, and while our work leaves open a number of research questions, we provide a solid foundation for future work.",,,,,,,,,,Alma/SFX Local Collection,,ISSN: 1046-8188= EISSN: 1558-2868= DOI: 10.1145/3613447,,,,,,,,,,,,https://uco-tku.primo.exlibrisgroup.com/permalink/886UCO_TKU/u57elj/cdi_crossref_primary_10_1145_3613447
